,id,originalTitle,description,contentRating,budget,grossWorldwide,genres,isAdult,numVotes,averageRating
148,tt0105695,Unforgiven,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",R,14400000.0,159167799.0,"['Drama', 'Western']",False,459845,8.2
149,tt0457430,El laberinto del fauno,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",R,19000000.0,83863565.0,"['Drama', 'Fantasy', 'War']",False,732433,8.2
150,tt0266697,Kill Bill: Vol. 1,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",R,30000000.0,180908413.0,"['Action', 'Crime', 'Thriller']",False,1268447,8.2
151,tt0268978,A Beautiful Mind,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",PG-13,58000000.0,316791257.0,"['Biography', 'Drama', 'Mystery']",False,1033547,8.2
152,tt1392214,Prisoners,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,R,46000000.0,122127446.0,"['Crime', 'Drama', 'Mystery']",False,894862,8.2
153,tt0040897,The Treasure of the Sierra Madre,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Approved,3000000.0,5014124.0,"['Adventure', 'Drama', 'Western']",False,139027,8.2
154,tt0266543,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",G,94000000.0,941637960.0,"['Adventure', 'Animation', 'Comedy']",False,1177222,8.2
155,tt0347149,Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG,24000000.0,241286155.0,"['Adventure', 'Animation', 'Family']",False,494104,8.2
156,tt0055630,Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Not Rated,,68196.0,"['Action', 'Drama', 'Thriller']",False,139939,8.2
157,tt0346336,La meglio gioventù,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,R,,2799773.0,"['Drama', 'Romance']",False,26359,8.4
158,tt0057115,The Great Escape,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.,Approved,4000000.0,230637.0,"['Adventure', 'Drama', 'Thriller']",False,272162,8.2
159,tt0071853,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",PG,229575.0,2934737.0,"['Adventure', 'Comedy', 'Fantasy']",False,594033,8.2
160,tt0080678,The Elephant Man,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",PG,5000000.0,26034325.0,"['Biography', 'Drama']",False,276473,8.2
161,tt4729430,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",PG,40000000.0,,"['Adventure', 'Animation', 'Comedy']",False,219877,8.2
162,tt0046912,Dial M for Murder,"A London playboy plots the perfect murder of his rich, unfaithful Wife.",PG,1400000.0,45313.0,"['Crime', 'Drama', 'Mystery']",False,200583,8.2
163,tt0031381,Gone with the Wind,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,G,3977000.0,402382193.0,"['Drama', 'Romance', 'War']",False,350393,8.2
164,tt1305806,El secreto de sus ojos,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later.",R,2000000.0,35079650.0,"['Drama', 'Mystery', 'Romance']",False,236656,8.2
165,tt0071315,Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",R,6000000.0,29232347.0,"['Drama', 'Mystery', 'Thriller']",False,369746,8.1
166,tt0120735,"Lock, Stock and Two Smoking Barrels","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",R,960000.0,3753929.0,"['Comedy', 'Crime']",False,640743,8.1
167,tt0434409,V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",R,54000000.0,134686457.0,"['Action', 'Drama', 'Sci-Fi']",False,1226658,8.1
168,tt0042876,Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Not Rated,250000.0,141708.0,"['Crime', 'Drama', 'Mystery']",False,192246,8.1
169,tt2096673,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school.",PG,175000000.0,859076254.0,"['Adventure', 'Animation', 'Comedy']",False,884951,8.1
170,tt5027774,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,R,15000000.0,162729321.0,"['Comedy', 'Crime', 'Drama']",False,591530,8.1
171,tt0264464,Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",PG-13,52000000.0,352114312.0,"['Biography', 'Crime', 'Drama']",False,1189319,8.1
172,tt0117951,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",R,1500000.0,16992984.0,"['Crime', 'Drama']",False,757003,8.1
173,tt0050212,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",PG,3000000.0,27201366.0,"['Adventure', 'Drama', 'War']",False,244790,8.1
174,tt0081398,Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",R,18000000.0,23406558.0,"['Biography', 'Drama', 'Sport']",False,400896,8.1
175,tt1201607,Harry Potter and the Deathly Hallows: Part 2,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",PG-13,125000000.0,1342505340.0,"['Adventure', 'Family', 'Fantasy']",False,1014535,8.1
176,tt0116282,Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,R,7000000.0,60611975.0,"['Crime', 'Drama', 'Thriller']",False,765594,8.1
177,tt29623480,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",PG,78000000.0,334537187.0,"['Adventure', 'Animation', 'Family']",False,197219,8.2
178,tt1291584,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",PG-13,25000000.0,23308615.0,"['Action', 'Drama', 'Sport']",False,520097,8.1
179,tt0097165,Dead Poets Society,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",PG,16400000.0,235860116.0,"['Comedy', 'Drama']",False,612062,8.1
180,tt0405159,Million Dollar Baby,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",PG-13,30000000.0,216763646.0,"['Drama', 'Sport']",False,753745,8.1
181,tt0052618,Ben-Hur,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",G,15000000.0,74442231.0,"['Adventure', 'Drama']",False,266364,8.1
182,tt1205489,Gran Torino,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",R,33000000.0,269958228.0,['Drama'],False,847862,8.1
183,tt1392190,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",R,150000000.0,380456026.0,"['Action', 'Adventure', 'Sci-Fi']",False,1181936,8.1
184,tt0072684,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,PG,11000000.0,567508.0,"['Adventure', 'Drama', 'War']",False,197584,8.1
185,tt0096283,Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",G,3700000.0,30558708.0,"['Adventure', 'Animation', 'Comedy']",False,416772,8.1
186,tt0118849,Bacheha-ye aseman,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",PG,180000.0,933933.0,"['Drama', 'Family', 'Sport']",False,87537,8.2
187,tt2119532,Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",R,40000000.0,180563636.0,"['Biography', 'Drama', 'History']",False,653344,8.1
188,tt2278388,The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",R,25000000.0,174567384.0,"['Comedy', 'Drama']",False,941381,8.1
189,tt2024544,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",R,20000000.0,187734091.0,"['Biography', 'Drama', 'History']",False,772276,8.1
190,tt0112471,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",R,2500000.0,6574201.0,"['Comedy', 'Drama', 'Romance']",False,366040,8.1
191,tt0083658,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,R,28000000.0,41768494.0,"['Action', 'Drama', 'Sci-Fi']",False,864290,8.1
192,tt10872600,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",PG-13,200000000.0,1921426073.0,"['Action', 'Adventure', 'Fantasy']",False,978007,8.2
193,tt0353969,Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Not Rated,2800000.0,1210763.0,"['Crime', 'Drama', 'Mystery']",False,251427,8.1
194,tt0382932,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,G,150000000.0,623738973.0,"['Adventure', 'Animation', 'Comedy']",False,906797,8.1
195,tt2267998,Gone Girl,The husband of a missing woman becomes the main suspect in her disappearance.,R,61000000.0,370890259.0,"['Drama', 'Mystery', 'Thriller']",False,1138456,8.1
196,tt0892769,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",PG,165000000.0,494879860.0,"['Action', 'Adventure', 'Animation']",False,866951,8.1
197,tt32820897,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",R,,555000000.0,"['Action', 'Adventure', 'Animation']",False,33390,8.6
198,tt0198781,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",G,115000000.0,579771043.0,"['Adventure', 'Animation', 'Comedy']",False,1044891,8.1
199,tt0073195,Jaws,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",PG,7000000.0,490719330.0,"['Adventure', 'Horror', 'Thriller']",False,716765,8.1
200,tt0107207,In the Name of the Father,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",R,13000000.0,65796862.0,"['Biography', 'Crime', 'Drama']",False,198753,8.1
